,u-g,ecc,petroR50_u,class
235,1.81673,0.8308384,0.7647387,merger
490,1.837469999999998,0.6860392,10.00761,elliptical
27,1.3933100000000032,0.4741131,2.599737,merger
553,1.5710800000000005,0.8004903,7.755419,spiral
652,1.1447700000000012,0.9000224,5.168405,spiral
552,1.8702699999999977,0.6485183,2.143649,spiral
624,1.7234499999999997,0.7441612,6.401019,spiral
63,1.5483399999999996,0.5125787,3.033735,merger
320,1.9437800000000005,0.6299368,2.634112,elliptical
638,1.0050799999999995,0.7124941,2.656459,spiral
539,1.3496099999999984,0.9056176,9.849186,spiral
288,1.8877200000000016,0.7595831,4.414327,elliptical
433,1.98865,0.8244902,2.742142,elliptical
475,1.8302700000000005,0.9647063,9.043689,elliptical
634,1.7191600000000005,0.6657881,10.32541,spiral
566,1.542749999999998,0.437719,6.023027,spiral
631,1.5239599999999989,0.8767955,3.390103,spiral
537,0.8371299999999984,0.614685,1.480893,spiral
206,1.3000000000000007,0.8084054,-9999.0,merger
315,1.638650000000002,0.9164166,3.532859,elliptical
21,2.0405200000000008,0.8556074,3.036843,merger
160,1.6668999999999985,0.4086453,2.340428,merger
88,1.854409999999998,0.5749806,1.566217,merger
90,0.9401399999999996,0.3866959,1.878258,merger
187,1.670300000000001,0.2444136,4.842409,merger
305,1.8890100000000007,0.8977969,6.881123,elliptical
550,1.4729600000000005,0.9497749,4.629304,spiral
602,1.6368700000000018,0.4294604,4.067579,spiral
229,1.8179599999999996,0.5818354,2.379707,merger
497,1.852699999999999,0.9041197,4.437196,elliptical
614,1.1110600000000002,0.7892233,5.976692,spiral
726,1.682019999999998,0.5210929,11.1977,spiral
124,1.06466,0.6316847,3.471078,merger
162,1.785590000000003,0.5152364,2.18998,merger
489,1.82565,0.716484,4.361598,elliptical
743,1.43393,0.899846,6.116075,spiral
483,2.0061800000000005,0.8880646,5.463611,elliptical
651,1.4877399999999987,0.6500981,4.762932,spiral
545,1.3196900000000014,0.7707539,4.218905,spiral
523,1.7559000000000005,0.4608842,9.785398,spiral
639,1.2811000000000003,0.7181082,14.49261,spiral
529,1.1895600000000002,0.9063014,8.506415,spiral
689,1.4784000000000006,0.5893165,7.330545,spiral
52,1.0141300000000015,0.2999564,5.831962,merger
585,1.73236,0.8909362,6.096132,spiral
456,1.93141,0.8094231,4.393629,elliptical
81,1.2820900000000002,0.8528052,3.600371,merger
286,1.7958399999999983,0.7725333,4.045274,elliptical
40,0.8042699999999989,0.4263786,1.510635,merger
59,1.1147400000000012,0.8368931,2.513355,merger
625,1.212489999999999,0.8499998,4.943053,spiral
32,1.4785400000000024,0.3251639,5.161983,merger
375,1.84882,0.8390691,4.032549,elliptical
499,1.9531600000000005,0.6912106,6.392527,elliptical
254,1.2701599999999988,0.7786884,6.332916,merger
401,2.1511299999999984,0.845759,4.385277,elliptical
302,1.897350000000003,0.7596752,2.324313,elliptical
488,1.9285700000000008,0.9452319,3.313589,elliptical
453,1.662420000000001,0.7696091,4.416141,elliptical
759,1.2811500000000002,0.7771693,7.652271,spiral
706,1.2511599999999987,0.8811097,11.2982,spiral
189,1.1991499999999995,0.2602039,1.522231,merger
623,8.14432,0.4835987,-9999.0,spiral
17,1.0294099999999986,0.5505208,3.548005,merger
680,1.2907199999999983,0.9073078,6.829216,spiral
255,1.9085399999999983,0.7044729,5.099107,merger
377,1.9608300000000012,0.8396819,3.561272,elliptical
763,1.7074400000000018,0.5332968,9.971869,spiral
33,1.940760000000001,0.6292701,1.645126,merger
562,1.27881,0.6559101,4.829402,spiral
35,1.9917200000000008,0.7664105,1.42533,merger
248,1.84545,0.5682275,1.712082,merger
244,1.8059200000000004,0.4998838,2.810026,merger
468,1.95815,0.7901701,2.12525,elliptical
694,1.4300700000000006,0.9003555,5.939744,spiral
208,1.330750000000002,0.7003533,1.060605,merger
517,1.7894499999999989,0.8691855,5.95521,elliptical
289,1.91582,0.7038665,4.48026,elliptical
661,1.147669999999998,0.8527295,4.346683,spiral
764,1.4921899999999972,0.949788,4.282581,spiral
125,1.1953500000000012,0.3390324,2.397861,merger
24,1.4529299999999985,0.3909295,1.666188,merger
779,1.4934600000000025,0.4906232,5.08212,spiral
686,1.1499800000000011,0.7813912,8.966628,spiral
608,1.6027199999999997,0.912986,9.084625,spiral
582,1.2281899999999997,0.8834943,4.999092,spiral
87,1.4396200000000017,0.3834612,7.153943,merger
713,1.2386499999999998,0.9223647,7.824978,spiral
127,2.20299,0.6395054,1.364435,merger
406,1.8273399999999995,0.9578865,5.477378,elliptical
683,1.6824499999999991,0.5221023,9.882698,spiral
191,1.276959999999999,0.2999923,2.173583,merger
491,1.9013399999999976,0.8774665,3.890213,elliptical
263,1.9042600000000007,0.6123837,3.922631,elliptical
479,1.909469999999999,0.8556085,5.538766,elliptical
740,1.0767300000000013,0.4631668,3.095441,spiral
469,2.1032100000000007,0.8838995,4.471799,elliptical
38,1.2609199999999987,0.308523,5.218831,merger
249,1.9319400000000009,0.8996408,0.7463332,merger
465,2.1327,0.999812,5.289711,elliptical
778,1.4179700000000004,0.8359015,5.442954,spiral
696,0.83962,0.9710076,13.24379,spiral
663,1.3754500000000007,0.7613906,23.66171,spiral
595,1.2361699999999978,0.8168555,7.740588,spiral
156,2.00159,0.8537949,3.971475,merger
593,1.3011599999999994,0.8592352,5.398289,spiral
97,1.6573700000000002,0.7903019,2.736742,merger
606,1.7017500000000003,0.8686118,11.26827,spiral
587,1.449209999999999,0.7072662,9.076157,spiral
619,1.1932600000000022,0.5552221,7.103095,spiral
258,1.5073499999999989,0.5675617,1.46725,merger
205,1.0874699999999995,0.5575368,1.123677,merger
420,1.893259999999998,0.8903707,4.936156,elliptical
649,1.7172800000000006,0.9868051,16.65336,spiral
327,2.0666899999999995,0.7093796,4.254813,elliptical
576,1.2152400000000014,0.855381,3.958323,spiral
427,2.059059999999999,0.727943,5.420081,elliptical
480,1.6989600000000014,0.9004944,3.644117,elliptical
234,1.7025700000000017,0.7254185,2.978645,merger
89,2.048919999999999,0.6380215,2.610625,merger
586,1.51248,0.9111523,13.38808,spiral
349,2.005429999999997,0.8383012,2.769948,elliptical
280,1.9723299999999997,0.6641971,5.182947,elliptical
278,1.8599999999999997,0.6977188,2.75176,elliptical
180,1.6316300000000012,0.5766756,2.034666,merger
749,1.5342699999999994,0.5998816,8.516161,spiral
621,1.4345600000000012,0.9717607,7.333714,spiral
747,1.3391400000000004,0.7667236,5.266587,spiral
296,1.8866700000000023,0.7773678,4.052593,elliptical
308,1.8188700000000004,0.9081543,2.935128,elliptical
627,1.12331,0.9001379,5.628087,spiral
633,10.62404,0.8989823,-9999.0,spiral
138,0.9853200000000016,0.4499995,3.650223,merger
61,1.90822,0.8262298,2.219115,merger
648,1.350159999999999,0.7542518,7.352027,spiral
67,1.5123099999999994,0.8191979,1.827545,merger
294,2.03857,0.6850561,18.75761,elliptical
640,1.1082900000000002,0.8168759,4.151739,spiral
437,1.9974900000000029,0.7998068,4.667667,elliptical
224,1.5586199999999997,0.4499772,5.792665,merger
178,0.7304999999999993,0.4908374,2.839233,merger
775,1.3459400000000006,0.779956,13.87722,spiral
25,2.2041700000000013,0.933152,1.019255,merger
242,1.267030000000002,0.8388472,2.543194,merger
123,2.0717300000000005,0.5283195,2.721544,merger
655,1.2354900000000022,0.7046809,4.903856,spiral
130,1.6034199999999998,0.6656891,1.778028,merger
722,1.5589199999999988,0.7592146,24.45571,spiral
503,2.070890000000002,0.9074105,2.939613,elliptical
322,1.905710000000001,0.8657967,11.35912,elliptical
692,1.33324,0.6665056,4.880836,spiral
134,1.5034699999999963,0.3935306,4.810486,merger
105,1.575960000000002,0.5430793,5.474915,merger
387,1.9209500000000013,0.7893131,4.405678,elliptical
580,1.4080200000000005,0.5304131,5.014601,spiral
351,1.8531800000000016,0.8996549,2.29337,elliptical
231,1.28219,0.8034166,1.571743,merger
734,1.595270000000001,0.9500132,8.907611,spiral
715,1.6492000000000004,0.5743676,5.164757,spiral
405,1.871360000000001,0.8960622,5.900557,elliptical
613,0.974700000000002,0.8747923,3.167077,spiral
425,1.8653999999999973,0.845067,2.051883,elliptical
378,2.2433299999999967,0.7833886,7.254145,elliptical
107,1.09891,0.4707251,4.216201,merger
179,0.7264799999999987,0.7514417,4.750669,merger
317,1.974540000000001,0.7219607,6.844398,elliptical
400,2.02957,0.7748551,1.415021,elliptical
354,1.2927399999999984,0.9315001,2.762528,elliptical
247,0.9004300000000001,0.7855408,1.913875,merger
628,1.472100000000001,0.8605025,3.823733,spiral
153,1.9137299999999973,0.5622208,2.623976,merger
573,1.5239899999999975,0.8050846,3.687088,spiral
777,1.2148900000000005,0.7933919,4.652165,spiral
557,1.76539,0.8055212,5.484419,spiral
511,1.90077,0.9398353,9.460494,elliptical
76,2.42249,0.8094692,0.7726217,merger
347,1.8315399999999984,0.9753876,4.508888,elliptical
636,1.6766700000000014,0.832319,5.628028,spiral
171,1.429130000000001,0.6141388,3.643909,merger
311,1.9940999999999995,0.8951708,3.150524,elliptical
590,1.0307999999999993,0.4488479,3.633569,spiral
362,1.795840000000002,0.8020688,5.648703,elliptical
297,1.4012899999999997,0.8169268,2.414648,elliptical
276,1.8867900000000013,0.8039134,6.120085,elliptical
506,1.9220299999999997,0.868904,6.870157,elliptical
774,1.0338400000000014,0.9329454,4.502631,spiral
544,1.2575900000000004,0.7811073,6.653194,spiral
629,1.332469999999999,0.9786621,4.889664,spiral
94,1.9412199999999995,0.6199767,12.71652,merger
712,1.59309,0.4734849,6.046585,spiral
115,1.2253299999999996,0.5384037,2.870364,merger
119,1.7627800000000011,0.8349674,5.480795,merger
250,1.6045300000000005,0.5065252,5.068859,merger
201,1.971429999999998,0.9203284,2.25509,merger
510,1.938039999999997,0.6721888,4.166645,elliptical
772,1.3448399999999996,0.5827358,5.818589,spiral
603,1.365829999999999,0.4499284,3.897295,spiral
338,1.7541499999999992,0.9162012,8.154615,elliptical
596,1.2701100000000023,0.842072,5.090718,spiral
214,0.8604200000000013,0.5413434,1.719333,merger
184,1.877950000000002,0.2508641,2.334039,merger
245,0.3578400000000012,0.5060971,1.754835,merger
757,1.36383,0.9275872,4.626054,spiral
546,1.3858200000000007,0.8652709,9.682741,spiral
718,1.5677400000000006,0.7597971,4.379187,spiral
72,1.3057200000000009,0.5130382,1.63715,merger
417,1.94417,0.8181814,2.945684,elliptical
513,2.0774500000000025,0.9126862,3.751459,elliptical
384,1.9114000000000024,0.7231016,3.349504,elliptical
575,0.7929500000000012,0.5182573,11.2759,spiral
485,1.7642300000000013,0.9222095,4.300192,elliptical
357,2.106309999999997,0.8559116,6.953796,elliptical
548,1.3709500000000006,0.7499992,5.572393,spiral
83,1.8793299999999995,0.5706223,1.258734,merger
57,0.9399499999999996,0.3684736,3.544056,merger
569,1.5431300000000014,0.5781136,6.028032,spiral
610,1.7007400000000017,0.7236177,9.07869,spiral
754,1.582279999999999,0.7094163,5.834299,spiral
211,0.9462100000000008,0.5285723,1.510999,merger
665,1.2885300000000015,0.8211107,5.17276,spiral
622,1.4647500000000022,0.5403817,4.358751,spiral
